hours-per-week,education,workclass,age,YearofExperience,fnlwgt
40,11th,Private,25,2.5,226802
50,HS-grad,Private,38,3.8,89814
40,Assoc-acdm,Local-gov,28,2.8,336951
40,Some-college,Private,44,4.4,160323
30,Some-college,?,18,1.8,103497
30,10th,Private,34,3.4,198693
40,HS-grad,?,29,2.9,227026
32,Prof-school,Self-emp-not-inc,63,6.3,104626
40,Some-college,Private,24,2.4,369667
10,7th-8th,Private,55,5.5,104996
40,HS-grad,Private,65,6.5,184454
40,Bachelors,Federal-gov,36,3.6,212465
39,HS-grad,Private,26,2.6,82091
35,HS-grad,?,58,5.8,299831
48,HS-grad,Private,48,4.8,279724
50,Masters,Private,43,4.3,346189
25,Some-college,State-gov,20,2,444554
30,HS-grad,Private,43,4.3,128354
20,HS-grad,Private,37,3.7,60548
45,Doctorate,Private,40,4,85019
47,Bachelors,Private,34,3.4,107914
35,Some-college,Private,34,3.4,238588
6,7th-8th,?,72,7.2,132015
43,Bachelors,Private,25,2.5,220931
40,Bachelors,Private,25,2.5,205947
90,HS-grad,Self-emp-not-inc,45,4.5,432824
20,HS-grad,Private,22,2.2,236427
54,HS-grad,Private,23,2.3,134446
35,HS-grad,Private,54,5.4,99516
60,Some-college,Self-emp-not-inc,32,3.2,109282
38,Some-college,State-gov,46,4.6,106444
50,11th,Self-emp-not-inc,56,5.6,186651
50,Bachelors,Self-emp-not-inc,24,2.4,188274
40,Some-college,Local-gov,23,2.3,258120
40,HS-grad,Private,26,2.6,43311
40,HS-grad,?,65,6.5,191846
40,Bachelors,Local-gov,36,3.6,403681
50,5th-6th,Private,22,2.2,248446
40,10th,Private,17,1.7,269430
40,HS-grad,Private,20,2,257509
50,Masters,Private,65,6.5,136384
45,Assoc-voc,Self-emp-inc,44,4.4,120277
40,HS-grad,Private,36,3.6,465326
40,11th,Private,29,2.9,103634
32,Some-college,State-gov,20,2,138371
36,Assoc-voc,Private,28,2.8,242832
40,7th-8th,Private,39,3.9,290208
50,Some-college,Private,54,5.4,186272
18,11th,Private,52,5.2,201062
50,HS-grad,Self-emp-inc,56,5.6,131916
20,Some-college,Private,18,1.8,54440
40,HS-grad,Private,39,3.9,280215
24,Some-college,Private,21,2.1,214399
60,HS-grad,Private,22,2.2,54164
54,9th,Private,38,3.8,219446
40,Some-college,Private,21,2.1,110677
40,HS-grad,Private,63,6.3,145985
50,Bachelors,Local-gov,34,3.4,382078
50,HS-grad,Self-emp-inc,42,4.2,170721
40,HS-grad,Private,33,3.3,269705
50,Bachelors,Private,30,3,101135
40,Some-college,Private,39,3.9,118429
40,Masters,Private,26,2.6,31208
40,HS-grad,Private,33,3.3,281384
40,HS-grad,Local-gov,47,4.7,171807
40,Bachelors,Private,41,4.1,109912
60,Assoc-acdm,Self-emp-inc,41,4.1,445382
20,Some-college,Private,19,1.9,105460
40,HS-grad,Private,46,4.6,170338
48,HS-grad,Private,43,4.3,102606
45,Some-college,Private,55,5.5,323887
40,Assoc-voc,Private,46,4.6,175622
40,HS-grad,Private,30,3,229636
40,Some-college,Private,21,2.1,388946
40,Some-college,Private,46,4.6,269034
40,10th,?,17,1.7,165361
50,HS-grad,Private,41,4.1,75012
30,HS-grad,Self-emp-inc,69,6.9,174379
40,HS-grad,Private,50,5,312477
40,Some-college,Private,20,2,72055
50,Some-college,Self-emp-inc,45,4.5,67001
40,Bachelors,Private,23,2.3,213734
40,Some-college,Private,24,2.4,83141
50,HS-grad,Self-emp-inc,44,4.4,223881
50,Some-college,Self-emp-not-inc,31,3.1,113752
44,HS-grad,Private,43,4.3,170482
10,11th,Federal-gov,20,2,244689
56,HS-grad,Private,55,5.5,160631
40,Some-college,Federal-gov,24,2.4,228724
10,Masters,?,41,4.1,38434
25,Bachelors,Private,59,5.9,292946
20,7th-8th,Federal-gov,49,4.9,77443
10,Masters,Private,33,3.3,176410
40,Bachelors,Federal-gov,59,5.9,98984
40,Masters,Private,34,3.4,198751
40,HS-grad,Private,20,2,479296
40,Bachelors,Private,25,2.5,235218
40,10th,Private,49,4.9,164877
40,HS-grad,Private,59,5.9,272087
40,HS-grad,Private,20,2,169699
18,Some-college,?,51,5.1,189762
35,Some-college,Private,33,3.3,202191
39,Some-college,Private,22,2.2,212261
40,9th,Self-emp-not-inc,58,5.8,301568
28,HS-grad,Local-gov,52,5.2,155233
40,10th,Private,36,3.6,75826
40,HS-grad,Local-gov,41,4.1,201520
40,HS-grad,Private,28,2.8,154236
16,Some-college,Private,19,1.9,289227
28,HS-grad,Private,18,1.8,217439
48,HS-grad,Private,18,1.8,179020
40,Some-college,Private,28,2.8,149624
40,Assoc-voc,Private,29,2.9,337266
20,HS-grad,?,20,2,30796
40,Some-college,Private,40,4,103541
40,HS-grad,Private,26,2.6,206721
40,HS-grad,Private,46,4.6,96773
24,11th,Private,23,2.3,200967
40,HS-grad,Private,44,4.4,180019
40,Bachelors,Private,43,4.3,179866
60,Bachelors,Local-gov,31,3.1,198770
