Industry Vertical,SubVertical,City  Location,InvestmentnType,Amount in USD,Amount
E-Technology,E-learning,Bengaluru,Private Equity Round,"20,00,00,000",2000
Transport,App based shuttle service,Gurgaon,Series C,"80,48,394",80.48394
E-commerce,Retailer of baby and toddler products,Bengaluru,Series B,"1,83,58,860",183.5886
Finance,Online Investment,New Delhi,Pre-series A,"30,00,000",30
Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Seed Round,"18,00,000",18
Logistics,"Open-market, freight management platform",Chennai,Series A,"90,00,000",90
Hospitality,Online Food Delivery Platform,Gurgaon,Private Equity Round,"15,00,00,000",1500
Technology,AgriTechnology,Pune,Series A,"60,00,000",60
E-Commerce,Automobile,Gurgaon,Series D,"7,00,00,000",700
Aerospace,Satellite Communication,Bengaluru,Seed,"5,00,00,000",500
Technology,Logistics Services and Solutions,Gurgaon,Series F,"2,00,00,000",200
B2B-focused foodTechnology startup,Food Solutions For Corporate,Bengaluru,Series C,"1,20,00,000",120
E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Series E,"3,00,00,000",300
Finance,Non-Banking Financial Company,Mumbai,Debt Funding,"59,00,000",59
Video,Experience Discovery Platform,Bengaluru,Seed Round,"20,00,000",20
Gaming,Real money based gaming startup,Noida,Seed Round,"5,00,00,000",500
E-Commerce,Online Eyewear Shopping Portal,Faridabad,Series G,"23,10,00,000",2310
Software,Business and customer engagement tools,San Francisco,Series H,"15,00,00,000",1500
Health and wellness,Men's Health and wellness brand,Gurgaon,Series B,"4,86,000",4.86
Education,Elearning,Gurgaon,Seed,"15,00,000",15
Health and wellness,Health and wellness services,Gurgaon,Series B,"1,20,00,000",120
B2B Marketing,AgriTechnology,Bengaluru,Debt Funding,"2,60,00,000",260
Finance,Financial Services To MSMEs,Gurgaon,Debt Funding,"1,74,11,265",174.11265
Video Games,Social gaming platform,Pune,Seed Funding,"13,00,000",13
SaaS,Recovery software,"San Jose,",Series C,"13,50,00,000",1350
Transport,Electric bike rental,Amritsar,Seed,"3,00,000",3
E-Commerce,Virtual e-commerce platform,Delhi,Seed Funding,"22,00,00,000",2200
Health and wellness,B2B platform for medical supplies,Mumbai,Series B,"1,58,00,000",158
Transport,Scooter sharing app,Kormangala,Series B,"28,30,00,000",2830
Finance,Mobile Wallet,Noida,Funding Round,"1,00,00,00,000",10000
Customer Service,Delivery Service,Bengaluru,Series D,"4,50,00,000",450
B2B,Business development,Bengaluru,Series D,"58,50,00,000",5850
Finance,Financial Services,Pune,Maiden Round,"45,00,000",45
Finance,Invoice discounting platform and SME lending marketplace,Mumbai,Series A,"33,00,000",33
Advertising & Marketing,Digital marketing firm,Mumbai,Private Equity Round,"60,00,000",60
SaaS,Education Technology,Hyderabad,pre-series A,"50,00,000",50
IoT,Building automation system,Burnsville,Series A,"1,80,00,000",180
IT,Deep-Technology,Bengaluru,Seed,"10,00,000",10
Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,Series A,"1,00,00,000",100
Health and wellness,Wearable Fitness Bands,Menlo Park,Series C,"45,00,00,000",4500
Accounting,Mobile-based Accounting Software,Bengaluru,Series A,"50,00,000",50
E-Commerce,Automotive,Gurgaon,Series C,"2,00,00,000",200
Finance,Supply Chain Management,New Delhi,Series A,"50,00,000",50
Retail,Fuel Delivery,Bengaluru,Seed Funding Round,"16,00,000",16
Finance,VC Funds,Mumbai,Single Venture,"14,00,00,000",1400
IT,Last-mile retail transaction Technology,Noida,Corporate Round,"3,80,80,000",380.8
E-Commerce,Social Commerce,Bengaluru,Series D,"12,50,00,000",1250
E-Commerce,Car Retail,Gurugram,Series D,"1,10,00,000",110
Customer Service Platform,Conversational AI,Palo Alto,Series C,"5,10,00,000",510
Automotive,Road Safety Analytics,San Francisco,Series B,"3,70,00,000",370
Consumer Goods,Low carb food for Diabetics,Bengaluru,Seed Round,"5,00,000",5
Finance,Digital Lending Platform,Santa Monica,Series D,"11,00,00,000",1100
Finance,Wealth Management,Gurgaon,Venture Round,"1,50,00,000",150
Food & Beverages,B2B FoodTechnology,Bengaluru,Series C,"65,90,000",65.9
Education,University Admissions,Noida,Seed Round,"10,00,000",10
E-Commerce,Grocery Delivery,Gurgaon,Series F,"7,00,00,000",700
Transport,Bike Taxi,Bengaluru,Series B,"3,90,00,00,000",39000
Finance,Auto Insurance,Gurgaon,Series B,"1,90,00,000",190
IT,Big Data,Singapore,Pre-Series A,"25,00,000",25
Compliance,Consulting,New Delhi,Angel,"1,45,000",1.45
Transport,Cabs,Kormangala,Series J,"10,00,000",10
AI,Speech Recognition,Taramani,Series C,"3,80,80,000",380.8
Food & Beverages,Digital Vending Machine,New Delhi,Seed Round,"5,00,000",5
Education,Education,Bengaluru,Private Equity Round,"15,00,00,000",1500
E-Commerce,Industrial Tools and Equipments,Singapore,Series D,"6,00,00,000",600
Technology,Logistics,Singapore,Series B,"1,60,00,000",160
Technology,Smartphone Operating System,Andheri,Series B,"57,50,000",57.5
Health Care,Primary care medical network,Mumbai,Series A,"25,00,000",25
Luxury Label,Clothes and Apparel,Mumbai,Series A,"10,00,000",10
Education,Full-stack career platform,Chembur,Angel Round,"3,19,605",3.19605
E-Commerce,Real Estate,Bengaluru,Series C,"5,10,00,000",510
Food & Beverages,Brewery,New Delhi,Debt Funding,"1,00,00,000",100
Finance,Finance,Bengaluru,Series A,"90,00,000",90
Finance,Finance,New Delhi,Series B,"7,50,00,000",750
Waste Management Service,Optimization,Hyderabad,pre-Series A,"2,60,00,000",260
Deep-Technology,AI,Bengaluru,pre-Series A,"25,00,000",25
Energy,Renewable Energy,New Delhi,Series A,"2,60,00,000",260
Media,E-Books,Bengaluru,Series B,"1,51,09,500.00",151.095
Media,Video Platform,Bengaluru,Seed Funding,"4,30,200",4.302
Finance,Financial Services,Haryana,Series A,"1,55,00,000",155
Finance,Online Lending Platform,New York,Series B,"5,20,00,000",520
Transport,Dockless Scooter Rental Company,Karnataka,Debt Funding,"35,84,000",35.84
Services,Digital Documentation,Mumbai/Bengaluru,Series A,"34,00,000",34
Waste Management Service,Optimization,Bengaluru,Venture - Series Unknown,"8,68,600",8.686
Transport,Logistics,Bengaluru,Series D,"15,00,00,000",1500
SaaS,Beauty and Wellness Industry,Hyderabad,Series C,"5,00,00,000",500
Automobile,Electric Vehicle,Bengaluru,Series C,"5,10,00,000",510
Agriculture,Fresh Agriculture Produces,Mumbai,Seed Round,"14,00,00,000",1400
E-commerce,Retail,Bengaluru,Series B,"1,15,00,000",115
Food & Beverages,Brewery,New Delhi,Series B,"56,00,000",56
Finance,Wealth Management,Bengaluru,Series A,"4,50,00,000",450
E-commerce,Online Medicine,Bengaluru,Private Equity,"1,70,00,000",170
E-commerce,Waste Management,Bhopal,Private Equity,"4,30,665",4.30665
Media,Travel,New Delhi,Series B,"35,91,375",35.91375
Health and wellness,Organic wellness,Gurugram,Seed Funding,"2,00,000",2
Finance,Banking,Bengaluru,Seed Funding,"35,00,000",35
Education,E-learning,Mumbai,Debt and Preference capital,"63,20,820",63.2082
E-commerce,Fashion and Apparel,Mumbai,Inhouse Funding,"24,43,495",24.43495
Education,E-learning,Bengaluru,Seed/ Angel Funding,"3,07,000",3.07
SaaS,Mobile analytics and marketing,Mumbai,Series B,"2,60,00,000",260
E-commerce,Software Solutions,Bengaluru and Gurugram,Series A,"30,00,000",30
E-commerce,Lending Platform,Bengaluru,Debt,"14,342,000+",#VALUE!
Transport,Bus Aggregation,Gurugram,Venture Round,"50,00,000",50
Technology,Supply-chain Technology solutions,Bengaluru,Series A,"30,00,000",30
AI,Logistics,Gurgaon,Pre Series A,Undisclosed,#VALUE!
E-Commerce,Fashion & Apparel,India/Singapore,Series D,"22,60,00,000",2260
NanoTechnology,Anti-Pollution,New Delhi,Series A,"6,00,000",6
Hospitality,Budget Rooms,Gurgaon,Equity,"10,00,00,000",1000
Automobile,Online Marketplace,Jaipur,Series C,"11,00,00,000",1100
Health and wellness,Specialty pharmaceutical,India/US,Series D,"2,20,00,000",220
Finance,Non-banking financial company,Chennai,Debt-Funding,"50,00,000",50
Media,Hyperlocal Content,Delhi,Seed Funding,"7,00,000",7
Services Platform,Home services marketplace,New Delhi,Series D,"5,00,00,000",500
Transport,Platform for travel agents,Mumbai,Pre-Series A,"8,00,000",8
Online Education,"Video-based certification, trainings",Gurugram,Pre-Series A,"5,72,000",5.72
Online Marketplace,E-Commerce,Nagpur,Seed Funding,"1,43,000",1.43
B2B,E-Commerce,Indore,Seed Funding,"20,00,000",20
"SaaS, E-Commerce","Real Estate, ERP",Gurugram,Series A,"35,00,000",35
Food & Beverages,Regional Flavours,Bengaluru,Seed/ Angel Funding,"1,38,995",1.38995
NBFC,MSME Finance,Chennai,Series D,"2,77,99,000",277.99
E-Commerce,Social Commerce,Bengaluru,Series C,"5,00,00,000",500
Gaming,Mobile e-Sports,Bengaluru,Series A,"5,00,000",5
Food,Meat Retail Chain,Jaipur,Equity,"10,00,000",10
Food & Beverages,POS For Online Ordering,"New York, Bengaluru",Series A,"10,00,000",10
Food,Micro-delivery grocery service,New Delhi,Series B,"13,00,000",13
Transport,On-Demand Drivers,Bengaluru,Mezzanine,"10,00,000",10
Services,Car Wash,Bengaluru,Seed/ Angel Funding,"5,00,000",5
Automation,Robotics,California,Series B,"30,00,00,000",3000
Health and wellness,Wellness Coach,Bengaluru,Series B (Extension),"60,00,000",60
Education,Personalized Learning,Noida,Seed Funding,"2,78,000",2.78
Investment,SME Funding,Mumbai,Equity Based Funding,"3,10,00,000",310
Finance,Digital Onboarding Solution,Mumbai/Bengaluru,Series A,"34,00,000",34
Software,AI Platform,India/US,Series A,"2,95,00,000",295
Finance,SME Lending,India,Private Equity,"4,20,00,000",420
Media,Video Sharing,Delhi,Series B,"17,00,000",17
Logistics,Supply Chain,Hyderabad,Seed/ Angel Funding,"1,10,00,000",110
Food,Wine,Mumbai,Private Equity,"82,00,000",82
Automobile,New and Used Cars Platform,Gurgaon,Series E,"30,00,000",30
Real Estate,Co-Working,New Delhi,Pre-Series A,"40,00,000",40
Logistics Technology,Largest Trucking Platform,Bengaluru,Private Funding,"1,46,80,000",146.8
Logistics Technology,Book Trucks Online,Bengaluru,Series C,"1,20,00,000",120
Consumer Internet,Online Pharmacy Chain,Chennai,Private Equity,"3,50,00,000",350
B2B Platform,Logistics and Shipping,Bengaluru,Private Equity,"22,50,00,000",2250
Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Private Equity,"63,90,000",63.9
Health and wellness,Health and wellness Service Provider,Delhi,Seed / Angel Funding,"10,00,000",10
Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Private Equity,"15,72,00,000",1572
Consumer Internet,Online Gaming Platform,Mumbai,Private Equity,"10,00,00,000",1000
Health and wellness,Online Marketplace For Mother and Babycare Products,Gurugram,Private Equity,"40,00,000",40
Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,Private Equity,"3,20,00,000",320
Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,Debt Funding,"55,00,000",55
Finance,Online Micro Lending Marketplace,Mumbai,Private Equity,"50,00,000",50
Finance,Online lending Platform,Mumbai,Private Equity,"3,00,00,000",300
Food-Technology,Personalisation Technology Firm Focusing On The Food & Beverages Industry,Bengaluru,Seed/ Angel Funding,"4,00,000",4
Consumer Internet,Media and Chat Entertainment Platform,Hyderabad,Private Equity,"70,00,000",70
Consumer Internet,Online Home Rental Marketplace,Gurugram,Private Equity,"1,20,000",1.2
Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Seed/ Angel Funding,"10,00,000",10
Consumer Internet,Assisted E-commerce Platform,Bengaluru,Private Equity,"3,50,00,000",350
Consumer Internet,Online Travel Aggregator,Gurugram,Private Equity,"1,00,00,000",100
Consumer Internet,Real-time Mobile App Management,Bengaluru,Seed/ Angel Funding,"40,00,000",40
Consumer Internet,Online Bike Rental Marketplace,Bengaluru,Private Equity,"1,22,00,000",122
Consumer Internet,UPI Payments App,Bengaluru,Private Equity,"6,60,00,000",660
Education,e-learning Platform,Bengaluru,Seed/ Angel Funding,"30,00,000",30
Finance,Consumer Financing Platform,Bengaluru,Seed/ Angel Funding,"10,00,000",10
Consumer Internet,Rural E-commerce Platform,Chennai,Seed/ Angel Funding,"40,00,000",40
Technology,AI Based Solutions Platform,Bengaluru,Private Equity,"80,00,000",80
Consumer Internet,AI Based Solutions Platform,Ahemadabad,Seed/ Angel Funding,"1,14,811",1.14811
Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Private Equity,"58,50,000",58.5
Finance,Online Loan Matchmaking Platform,Bengaluru,Seed / Angel Funding,"10,00,000",10
Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Debt Funding,"48,00,000",48
Technology,Applied AI and IoT focused\\xc2\\xa0Platform,Bengaluru,Private Equity,"60,00,000",60
Consumer Internet,Online Indian Car Rental Platform,Gurugram,Private Equity,"1,42,70,000",142.7
Consumer Internet,Online Lending Platform,Bengaluru,Private Equity,"1,34,00,000",134
Finance,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,Private Equity,"42,00,000",42
Health and wellness,Local Language Health Content App,Delhi,Private Equity,"50,00,000",50
IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Private Equity,"30,00,000",30
Finance,Private Equity Firm,Mumbai,Private Equity,"60,00,00,000",6000
Consumer Internet,Online Food Delivery,Gurugram,Seed/ Angel Funding,"10,00,000",10
IT,E-commerce Fulfilment Platform,Pune,Private Equity,"40,00,000",40
Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,Private Equity,"62,50,000",62.5
Consumer Internet,Online Insurance Selling Platform,Gurugram,Private Equity,"2,77,00,000",277
Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Seed/ Angel Funding,"4,40,000",4.4
Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,Seed/ Angel Funding,"11,00,000",11
Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,Seed/ Angel Funding,"4,37,000",4.37
Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,Private Equity,"50,00,000",50
Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,Private Equity,"50,00,000",50
Consumer Internet,Online Micro Lending Platform,Rourkela,Private Equity,"25,00,000",25
IT,AI-based sales acceleration software platform,Gurugram,Seed/ Angel Funding,"1,80,000",1.8
Health and wellness,Home diagnostics services provider,Bengaluru,Seed/ Angel Funding,"5,00,000",5
Health and wellness,A Doctor-Patient Engagement Platform,Jaipur,Seed/ Angel Funding,"1,75,000",1.75
Finance,Online Lending Platform For SME,Gurugram,Private Equity,"2,90,00,000",290
Consumer Internet,Online Used Car Marketplace,Gurugram,Private Equity,"4,97,00,000",497
Consumer Internet,Subscription-Only News Website,Bengaluru,Seed/ Angel Funding,"15,00,000",15
Consumer Internet,Online Ticketing Platform,Mumbai,Private Equity,"10,00,00,000",1000
Consumer Internet,Property Discovery Platform,Bengaluru,Seed/ Angel Funding,"15,00,000",15
Consumer Internet,Online Consumer Lending Platform,Mumbai,Private Equity,"1,80,00,000",180
Technology,Media Analytics,Gurugram,Seed/ Angel Funding,"2,80,000",2.8
Technology,NanoTechnology Company Specializing In Graphene,Bengaluru,Seed/ Angel Funding,"4,36,000",4.36
Education,Skill Learning Platform,Bengaluru,Seed/ Angel Funding,"1,80,000",1.8
Consumer Internet,Online Insurance Startup,Pune,Private Equity,"4,50,00,000",450
Finance,Non-Banking Financial Company,Mumbai,Private Equity,"1,70,00,000",170
Consumer Internet,Mobile-First Video Blogging App,Bengaluru,Seed/ Angel Funding,"12,50,000",12.5
Technology,Data Analytics Firm,Bengaluru,Seed/ Angel Funding,"25,00,000",25
IT,Software-As-A-Service Platform,Bengaluru,Seed/ Angel Funding,"11,00,000",11
Finance,Unified Global Investments Ecosystem,Hyderabad,Private Equity,"5,00,000",5
Consumer Internet,Bus Aggregation Platform,Gurugram,Private Equity,"1,10,00,000",110
Consumer Internet,Health and fitness Platform,Bengaluru,Private Equity,"12,00,00,000",1200
Finance,Non-Bank Lending Platform For SME,Chennai,Private Equity,"10,00,00,000",1000
Health and wellness,Health and Well being Platform,Hyderabad,Seed/ Angel Funding,"50,00,000",50
Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,Private Equity,"1,00,00,000",100
Technology,Sales Analytics and Enablement Platform,Bengaluru,Seed/ Angel Funding,"1,25,000",1.25
Finance,Non-Banking Financial Company,Bhubneswar,Private Equity,"2,30,00,000",230
Consumer Internet,Online Marketplace For Resellers,Bengaluru,Private Equity,"1,15,00,000",115
Finance,Online Lending Platform,Gurugram,Private Equity,"2,15,00,000",215
Finance,Supplychain Finance,Mumbai,Private Equity,"1,48,00,000",148
E-Commerce,Fashion e-tailer,Chennai,Private Equity,"1,01,00,000",101
Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Seed/ Angel Funding,"30,00,000",30
Health and wellness,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,Seed/ Angel Funding,"3,000,00",#VALUE!
Finance,Mass Market Mutual Fund Investment Platform,Noida,Seed/ Angel Funding,"4,50,000",4.5
Consumer Internet,Online Home Furnishing Solutions,Bengaluru,Seed/ Angel Funding,"34,50,000",34.5
Technology,Cybersecurity Specialist,Mumbai,Private Equity,"48,00,000",48
Health and wellness,Prosthetics Manufacturers,Chandigarh,Private Equity,"2,10,00,000",210
IT,Data Analytics (SaaS),Delhi & Cambridge,Seed/ Angel Funding,"17,00,000",17
Consumer Internet,Online Rental Marketplace,Bengaluru,Seed/ Angel Funding,"11,00,000",11
Finance,Trade Finance Firm,Mumbai,Private Equity,"1,50,00,000",150
Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,Private Equity,"91,00,000",91
Consumer Internet,Online Insurance Selling Platform,Gurugram,Private Equity,"20,00,00,000",2000
Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,Private Equity,"40,00,000",40
Finance,App-based investment platform,Gurugram,Seed/ Angel Funding,"10,00,000",10
Technology,Digital Payment Platform,Noida,Private Equity,"89,50,000",89.5
Health and wellness,Data Driven Intelligence Solutions Platform,Bengaluru,Private Equity,"1,90,00,000",190
Technology,E-commerce Logistics Platform,Mumbai,Private Equity,"45,00,000",45
Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Seed/ Angel Funding,"11,00,000",11
Education,Online Education Platform,Bengaluru,Seed/ Angel Funding,"20,00,000",20
Finance,Online Lending Platform,Chennai,Seed / Angel Funding,"4,50,000",4.5
Consumer Internet,Aggregator For Packaging Material,Mumbai,Private Equity,"2,20,00,000",220
IT,SaaS,Chennai,Seed / Angel Funding,"25,00,000",25
Consumer Internet,P2P Lending Platform,Mumbai,Seed / Angel Funding,"2,25,000",2.25
Technology,AI product company For Health and Life Insurane Companies,Mumbai,Seed / Angel Funding,"10,00,000",10
Consumer Internet,Agri-Technology,Pune,Seed / Angel Funding,"9,49,000",9.49
Consumer Internet,Beauty e-tailer,Mumbai,Private Equity,"2,40,00,000",240
Health and wellness,Doctor-Consultation App,Bengaluru,Private Equity,4200000,42
